gender,experience_years,test_score,label,prediction
female,13,86.9,0,0
male,0,98.4,1,1
female,5,74.8,0,0
female,6,77.0,1,0
male,11,92.5,1,1
female,1,80.2,0,1
female,6,89.5,1,0
female,2,78.4,1,1
male,11,68.6,0,0
male,9,89.8,1,1
male,7,65.2,0,0
female,5,67.9,0,0
female,2,85.1,0,1
female,13,89.9,0,1
male,9,95.8,1,1
male,4,70.9,0,0
female,6,64.4,0,0
male,10,98.2,1,1
female,10,66.2,0,0
female,6,67.9,0,0
female,4,71.7,0,0
male,9,81.2,1,1
female,9,95.3,0,0
female,8,90.4,1,0
female,1,88.3,1,1
male,7,67.0,0,0
male,9,74.3,0,0
male,14,79.1,1,1
male,7,65.9,0,0
female,5,70.9,0,0
female,8,72.3,0,0
female,2,65.1,0,0
male,1,82.0,1,1
male,10,88.2,1,1
male,14,62.8,0,0
male,12,79.2,1,1
male,8,91.3,1,1
male,0,89.9,1,1
male,14,92.6,1,1
female,6,77.9,1,0
male,4,92.8,1,1
female,13,69.6,0,0
female,11,74.4,0,0
male,11,67.1,0,0
female,4,78.7,1,0
female,14,75.7,0,0
male,6,69.6,0,0
male,7,90.1,1,1
female,11,72.6,0,0
male,9,70.9,0,0
male,2,65.2,0,0
male,4,77.6,1,0
female,5,72.1,0,0
female,14,74.8,0,0
female,10,69.4,0,0
female,5,90.5,1,1
male,11,97.2,1,1
female,11,79.9,0,1
male,5,85.7,1,1
male,6,94.7,1,1
female,13,100.0,1,1
male,8,84.5,1,1
female,2,95.6,1,1
female,10,96.3,1,0
female,8,91.7,1,1
female,7,78.4,0,1
female,10,63.2,0,0
male,13,60.6,0,0
male,4,79.1,1,1
male,6,79.8,1,1
male,2,76.3,1,0
male,9,82.7,1,1
female,6,82.1,1,0
male,5,93.5,1,1
male,10,64.3,0,0
male,6,69.0,0,0
male,6,91.7,1,1
female,6,93.9,1,0
female,3,99.8,0,1
female,1,94.9,1,0
female,12,95.6,0,1
male,1,72.6,0,0
female,4,76.1,0,0
male,10,70.7,0,0
male,1,84.3,1,1
male,9,97.6,1,1
female,10,73.8,0,0
male,9,82.3,1,1
male,4,71.9,0,0
male,0,66.8,0,0
male,13,67.8,0,0
female,4,62.3,0,0
male,12,98.0,1,1
male,2,76.1,1,0
male,2,93.4,1,1
female,11,87.3,1,1
male,14,67.7,0,0
male,12,67.0,0,0
male,11,92.5,1,1
female,3,70.6,0,0
female,13,96.5,0,0
female,10,65.6,0,0
male,2,87.1,1,1
female,1,92.6,1,0
female,13,69.4,0,0
female,4,71.0,0,0
male,11,98.6,1,1
male,2,70.6,0,0
male,4,77.2,1,0
female,4,77.3,0,0
male,4,70.1,0,0
male,10,91.0,1,1
male,13,90.9,1,1
female,13,75.1,1,0
male,11,93.4,1,1
female,3,68.5,0,0
female,14,60.2,0,0
female,8,82.8,1,0
male,8,99.8,1,1
female,10,61.5,0,0
female,11,68.3,0,0
female,14,80.8,1,0
male,8,92.4,1,1
male,9,63.6,0,0
male,11,75.8,1,0
male,3,89.9,1,1
male,4,74.9,0,0
male,9,67.6,0,0
male,0,67.8,0,0
female,4,76.4,0,0
male,10,79.2,1,1
female,14,94.5,1,1
female,7,85.7,1,1
male,5,87.6,1,1
female,6,99.3,1,1
